010011000001 U F2 R2 B' 
100011000100 D' F2 R2 B' 
100011000010 D F2 R2 B' 
001111100001 F' U' R2 B' 
101000110000 B2 U' R2 B' 
001000110001 B U' R2 B' 
010111100001 F' U R2 B' 
110000110000 B2 U R2 B' 
010000110001 B U R2 B' 
100000110100 D' B2 R2 B' 
100000110010 D B2 R2 B' 
110101100001 F' L' R2 B' 
110001101001 F L' R2 B' 
100101100101 F' L R2 B' 
100001101101 F L R2 B' 
100011101100 F D' R2 B' 
000000110101 B2 D' R2 B' 
100011101010 F D R2 B' 
000000110011 B2 D R2 B' 
011111101001 U' F' R B' 
110111101001 U2 F' R B' 
111011101001 U F' R B' 
101101101000 B' F' R B' 
101101111001 B2 F' R B' 
001101101001 B F' R B' 
111100101101 L' F' R B' 
001010001001 F2 U' R B' 
001110101001 F U' R B' 
101110000000 B' U' R B' 
101100010000 B2 U' R B' 
010111001001 F' U2 R B' 
010010001001 F2 U2 R B' 
010110101001 F U2 R B' 
110110000000 B' U2 R B' 
110100010000 B2 U2 R B' 
010110000100 D' U2 R B' 
110010000100 D' U R B' 
101000010100 D' B2 R B' 
111101101001 F' L' R B' 
101100000001 U' L' R B' 
110100000001 U L' R B' 
111000000100 D' L' R B' 
111000000010 D L' R B' 
101001101001 F' L2 R B' 
101101100001 F L2 R B' 
101101101101 F' L R B' 
101111101100 F' D' R B' 
111010000000 L' D' R B' 
111001000000 L2 D' R B' 
101110101000 F' D2 R B' 
001000011001 B2 D2 R B' 
101111101010 F' D R B' 
100010110000 R' D R B' 
101000000110 L D R B' 
001111011011 R' F' U' B' 
000111111011 R2 F' U' B' 
001111101000 B' F' U' B' 
101111111000 B2 F' U' B' 
001101111000 B F' U' B' 
001111110110 D' F' U' B' 
000000010111 L R' U' B' 
000111100011 F' R2 U' B' 
000011000011 F2 R2 U' B' 
000011101011 F R2 U' B' 
000000100111 L R2 U' B' 
000010010000 R' B' U' B' 
111000010000 L' B2 U' B' 
